handle,source,school,lang,name,followers,statuses,age_y,statuses_per_y,originals_per_y,asset_hit_rate,probe_n,last_tweet,bio_score,verified,bio
jiahuiyu,following,,,Jiahui Yu,0,0,,,,,,,0,,Startup. Previously co-founded TBD @Meta Superintelligence Labs; led Perception @OpenAI; co-led Gemini Multimodal @GoogleDeepMind.
TuncSatiroglu,following,,,Tunç Şatıroğlu,0,0,,,,,,,0,,English @kanalfinans Whatsapp ve Telegram grubum yoktur.  https://t.co/cfl1rcb2R1 National Media Authority Permit: 8354387 Financial Influencer Registration: 175
ch402,following,,,Chris Olah,0,0,,,,,,,0,,"Reverse engineering neural networks at @AnthropicAI. Previously @distillpub, OpenAI Clarity Team, Google Brain. Personal account."
ozmuhabir,following,,,Ozan Demircan,0,0,,,,,,,0,,Journalist
trivelaspor,following,,,Trivela Sports,0,0,,,,,,,0,,Reklam ve işbirliği için:  📩 trivelaspors@protonmail.com
benln,following,,,Ben Lang,0,0,,,,,,,0,,"Building SpaceXAI, via Cursor team"
haskologlu,following,,,ibrahim Haskoloğlu,0,0,,,,,,,0,,Journalist | Anlık Haberler için Bildirimleri Açın
zach_yadegari,following,,,Zach Yadegari,0,0,,,,,,,0,,✡️ 19. Miami. Forbes 30u30. https://t.co/kzOxNGZoSP (acquired)
dotiryaki,following,,,Doruk Tiryaki,0,0,,,,,,,0,,life maxxing
latentspacepod,following,,,Latent.Space,0,0,,,,,,,0,,"AI Engineering podcast, newsletter & community. Technical news today you’ll use at work tomorrow. Business: business@latent.space · Tips: tips@latent.space"
ClementDelangue,following,,,clem 🤗,0,0,,,,,,,0,,"Co-founder & CEO @HuggingFace 🤗, the open and collaborative platform for AI builders"
GokhanGark,following,,,Gokhan Gark,0,0,,,,,,,0,,"Anlattığım her şey hayal ürünüdür.  Paylaşımlarımı sadece buradan yapıyorum. Telegram, Tiktok vb. kanalım veya grubum yoktur."
mesih_isa_hasan,following,,,MESİH,0,0,,,,,,,0,,https://t.co/Hu67hHT19A @christisgospel 🎧 Sesli Kitap MÜJDE https://t.co/8l17ED0dXJ
ProfDemirtas,following,,,Özgür Demirtaş,0,0,,,,,,,0,,"Akademisyen,15 yıl ABD,Şimdi @sabanciu Finans Kürsü Başkanı.Uzmanlık: Finans. İlgi-Alanları: Teknoloji-Uzay-Tıp. For Tweets in English @OzgurinEnglish"
satoshi,following,,,.,0,0,,,,,,,0,,
CSERCambridge,following,,,Centre for the Study of Existential Risk,0,0,,,,,,,0,,@Cambridge_Uni interdisciplinary research centre dedicated to the study and mitigation of existential risks. Bluesky: https://t.co/cD6lyPPzBH
huggingface,following,,,Hugging Face,0,0,,,,,,,0,,The AI community building the future. https://t.co/TpiXQMQ9rZ
littlebirdview,following,,,PanosK,0,0,,,,,,,0,,PhD Physics  Data Scientist
nikitabier,following,,,Nikita Bier,0,0,,,,,,,0,,ex-head of product @x
nntaleb,following,,,Nassim Nicholas Taleb,0,0,,,,,,,0,,"Flaneur: probability (philosophy), probability (mathematics), probability (real life),Phoenician wine, deadlifts & dead languages. Greco-Levantine.Canaan. #RWRI"
scienceisstrat1,following,,,Science Is Strategic,0,0,,,,,,,0,,"Science and technology are our best weapons against Covid-19, climate change, cancer, neurodegenerative diseases, diabetes and more."
gdb,following,,,Greg Brockman,0,0,,,,,,,0,,President & Co-Founder @OpenAI
PyTorch,following,,,PyTorch,0,0,,,,,,,0,,Tensors and neural networks in Python with strong hardware acceleration. PyTorch is an open source project at the Linux Foundation. #PyTorchFoundation
EzgiBasakA,following,,,EzgiBasakA,0,0,,,,,,,0,,"Hayvana,insana,denize,Sinop'a,ODTÜ'ye aşık..  Tenis seven,rakı seven,dövme seven bir insani yardım çalışanı..  Kanında da azıcık aktivistlik var!"
GoogleDeepMind,following,,,Google DeepMind,0,0,,,,,,,0,,The engine room of @Google. Building AI safely and responsibly to solve the world’s most complex problems. Join us: https://t.co/jUHQA27iBL
Kurz_Gesagt,following,,,Kurzgesagt,0,0,,,,,,,0,,"Sciency videos made with love, a lot of time and after effects."
shellenberger,following,,,Michael Shellenberger,0,0,,,,,,,0,,"CBR Chair of Politics, Censorship & Free Speech @UAustinOrg : Dao Journalism Winner : Time, ""Hero of Environment"" : Author, “Apocalypse Never,” ""San Fransicko"""
DAcemogluMIT,following,,,Daron Acemoglu,0,0,,,,,,,0,,"Institute Professor @MIT, @MITEcon. Co-Director of @MITShapingWork. Author of Why Nations Fail, The Narrow Corridor, and Power & Progress."
hdpdemirtas,following,,,Selahattin Demirtaş,0,0,,,,,,,0,,Siyasi rehine
ylecun,following,,,Yann LeCun,0,0,,,,,,,0,,"Founder/Chair, AMI Labs; Professor, NYU; Partner, 224 Ventures; Ex-Chief AI Scientist, Meta. Researcher in AI, ML, Robotics, etc. ACM Turing Award Laureate."
AndrewYNg,following,,,Andrew Ng,0,0,,,,,,,0,,"Co-Founder of Coursera; Stanford CS adjunct faculty. Former head of Baidu AI Group/Google Brain. #ai #machinelearning, #deeplearning #MOOCs"
sama,following,,,Sam Altman,0,0,,,,,,,0,,The mission of OpenAI is to ensure that AGI benefits all of humanity
geoffreyhinton,following,,,Geoffrey Hinton,0,0,,,,,,,0,,deep learning
OpenAI,following,,,OpenAI,0,0,,,,,,,0,,OpenAI’s mission is to ensure that artificial general intelligence benefits all of humanity. We’re hiring: https://t.co/dJGr6LgzPA
karpathy,following,,,Andrej Karpathy,0,0,,,,,,,0,,deep learning
Sanat_Uzun,following,,,SanatUzunİlhamSonsuz,0,0,,,,,,,0,,Sanat Uzun İlham Sonsuz -Sanat üzerine psikolojik sohbetler- Şenol Ayla ve Timuçin Oral  Artık Bluesky’da ve İnstagram’da  da varız 👋
pter,following,,,Peter Vidani,0,0,,,,,,,0,,Design @OpenAI
perihantantug,following,,,Perihan Tantuğ,0,0,,,,,,,0,,"Genel Yayın Yönetmeni @Ekoturktv  Ekonomi hakkında yazar,çizer,konuşur,soru sorar."
say_cem,following,,,Cem Say,0,0,,,,,,,0,,"Bilgisayar mühendisliği hocası. Kitaplar: 'Yapay Zekâya Giriş', 'En Hakiki Mürşit', 'Yeni Dünya, Yeni Ağ', '50 Soruda Yapay Zekâ'. Ve 'Geometri' (Atatürk)"
cagrimbakirci,following,,,Çağrı Mert Bakırcı,0,0,,,,,,,0,,"Twitter'ı bıraktım. Bundan sonra YouTube, Evrim Ağacı Sosyal ve Bluesky'da (sadece İngilizce) olacağım. Linkler sabit yorumda.  Ave atque vale."
michaeljburry,following,,,Cassandra Unchained,0,0,,,,,,,0,,"Official X account for Michael Burry, MD, called ""Cassandra"" by Warren Buffett. Now on Substack https://t.co/6vvNTweTWd"
paretomag,following,,,Pareto,0,0,,,,,,,0,,"Her hafta sektörel trendler, analizler, iş dünyasından öne çıkan gelişmeler ve uzman görüşleri Pareto'da; liderlerle mülakatlar Pareto Spot podcastte yayında!"
linear_magazine,following,,,LINEAR,0,0,,,,,,,0,,A new kind of design magazine — for the architecturally curious
sabopasha,following,,,Sabri Can Onay Yontar,0,0,,,,,,,0,,"Chess Youtuber | ITU-Aerospace Eng. , Pertevniyal | Barcelona- İstanbul | İş Birlikleri için: sabrican@tem.network"
TurkeyBlocks,following,,,Turkey Blocks,0,0,,,,,,,0,,Mapping Internet Access in Turkey in Real Time | Tweets on #InternetFreedom #DigitalRights #Law
NazimSalur,following,,,Nazım Salur,0,0,,,,,,,0,,"BiTaksi ve Getir kurucusu, Founder of BiTaksi and Getir"
tldrnewsletter,following,,,TLDR Newsletter,0,0,,,,,,,0,,"Startups, Tech & Programming Newsletter: https://t.co/7gjBLYfmnw | AI Newsletter: https://t.co/UsowDlpGzk | Curated by @tldrdan"
TurkishAIHub,following,,,Global AI Hub 🇹🇷,0,0,,,,,,,0,,https://t.co/T0JyxsJuZQ projesi kapsamında Türkiye’de 250 bini kadın olmak üzere 500 bin kişiye ücretsiz yapay zeka eğitimleri veriyoruz. English: @globalaihub
microscopicture,following,,,microscopic images.,0,0,,,,,,,0,,
neol_co,following,,,Neol,0,0,,,,,,,0,,Neol is a platform for creative leaders in business and creativity who are driven to pursue their most meaningful work
serkanborancili,following,,,Serkan Borancili,0,0,,,,,,,0,,Founder of GittiGidiyor & Getir
sc,following,,,Mr. Carter,0,0,,,,,,,0,,
cihan_phlvn,following,,,Cihan Pehlivan,0,0,,,,,,,0,,"B.S in Financial Mathematics, Istanbul Bilgi University M.S in Mathematics, Bosphorus University  Ph.D in Mathematics (number theory), Roma Tre University"
VitalikButerin,following,,,vitalik.eth,0,0,,,,,,,0,,I choose balance. First-level balance.  mi pinxe lo crino tcati  https://t.co/gCQrmCby7P
guzelerhan,following,,,Erhan Güzel,0,0,,,,,,,0,,"İstanbul Former Principal Dancer, Ballet Instructor, Choreographer erhanguzelbale@gmail.com"
gavofyork,following,,,Gavin Wood,0,0,,,,,,,0,,"Founded Polkadot, Kusama, Ethereum, Parity, Web3 Foundation. Building Polkadot. All things Web 3.0"
lexfridman,following,,,Lex Fridman,0,0,,,,,,,0,,Host of Lex Fridman Podcast. Interested in robots and humans.
rdnckky,following,,,Erdinc,0,0,,,,,,,0,,founder @ https://t.co/PvnH24w267
BitcoinFear,following,,,Bitcoin Fear and Greed Index,0,0,,,,,,,0,,sometimes accurate
RayDalio,following,,,Ray Dalio,0,0,,,,,,,0,,"Official account of Ray Dalio, founder of Bridgewater Associates, author of #1 New York Times bestseller 'Principles,' professional mistake maker"
cbistanbuleats,following,,,CB Istanbul Eats,0,0,,,,,,,0,,The Serious Eater's Guide to Istanbul | now eating around the world as @CBackstreets
GeoffreyGurtner,following,,,"Geoffrey Gurtner, MD, FACS",0,0,,,,,,,0,,Professor and Chair of Surgery @UofAZSurgery | Emeritus Professor @stanford | Plastic Surgeon | Innovator | Entrepreneur | @UCSFMedicine & @dartmouth alumnus
StanfordMed,following,,,Stanford Medicine,0,0,,,,,,,0,,The official account of Stanford Medicine
LongakerLab,following,,,Longaker Lab,0,0,,,,,,,0,,Dr. Michael Longaker's lab at @StanfordSurgery and @StanfordPlastic. Follow us for news about the team and our latest research.
kellenchen_,following,,,Kellen Chen,0,0,,,,,,,0,,"Asst Prof @UofAZSurg @UArizonaBME Former @StanfordSurgery @UVABME @BerkeleyBioE Biotech @tautonagroup Tissue Regen, Fibrosis, Therapeutics, FDA"
JeffBezos,following,,,Jeff Bezos,0,0,,,,,,,0,,"Six thousand years ago, someone invented the plow, and we all got wealthier. A gentle reminder that all civilizational wealth is driven by invention."
Sssnakeepit,following,,,spencer,0,0,,,,,,,0,,secrets don't sleep 'til they're took to the grave @yorkshirebones 💕
levicook,following,,,korg.sol,0,0,,,,,,,0,,blockchain janitor 🦀🏴‍☠️
MLevitt_NP2013,following,,,Michael Levitt,0,0,,,,,,,0,,"Stanford Prof. of Biophysics, Cambridge PhD and DSc, 2013 Chemistry Nobel Laureate (complex systems), FRS & US National Academy member, I code well for my age."
gavinandresen,following,,,Gavin Andresen,0,0,,,,,,,0,,"doing less, enjoying more"
spaceappsnyc,following,,,Space Apps NYC,0,0,,,,,,,0,,"NYC's #NASA #SpaceApps community of over 3000 #hackers, #makers, students, artists, and scientists. Now hosting the 2023 NASA Space Apps Challenge #Hackathon!"
efebulduk,following,,,Efe Bulduk,0,0,,,,,,,0,,"I put my heart and my soul into my work, and have lost my mind in the process.  — Vincent Van Gogh"
erenbali,following,,,Eren Bali,0,0,,,,,,,0,,"Cofounder, CEO and social media intern of @monogram_ai. Previously founder/CEO of Udemy and Carbon Health. IMO medalist. Help @weaverobotics."
mahir_nyc,following,,,Mahir Yavuz,0,0,,,,,,,0,,@columbia tweets mostly about #leadership and #AI  Previously @etsy @Penn @topos_ai @RGA @The_O_C_R Seed @ArsElectronica
BernardoTavora,following,,,Bernardo Tavora,0,0,,,,,,,0,,Biomedical Scientist - Drug Discovery Oncology Previously @RockefellerUniv @QMBCI 🇵🇹🇬🇧🇺🇸
kitap_kahve_soh,following,,,kitap_kahve_sohbet,0,0,,,,,,,0,,
litcapital,following,,,litquidity,0,0,,,,,,,0,,founder @litquidityvc // newsletters @exec_sum & @cryptosum_ // @baincapvc scout // trade on polymarket: https://t.co/kXGzvIdxOS
jschementi,following,,,Jimmy Schementi,0,0,,,,,,,0,,I build stuff.
DataEngPodcast,following,,,DataEngPodcast,0,0,,,,,,,0,,A podcast about data engineering and modern data infrastructure. Hosted by @TobiasMacey
SquatUniversity,following,,,Squat University,0,0,,,,,,,0,,"Doctor Aaron Horschig’s guide to help athletes move better, eliminate pain, & optimize performance.🏋🏼‍♀️ My Injury Fix Book ‘Rebuilding Milo’👇🏼"
brianmichel,following,,,Brian Michel,0,0,,,,,,,0,,I clean the fridge @browsercompany. He/Him. @brianmichel@mastodon.social
cootiebanini,following,,,Christine,0,0,,,,,,,0,,Voice of Young Simba in The Lion King (1994)
mb,following,,,mb,0,0,,,,,,,0,,"poems, pictures, programs it’s also known as chroma ◡̈  @chromatographix @lickability"
glerpie,following,,,glerpie,0,0,,,,,,,0,,Designing something cute and fun and new. Former employee of several esteemed corporate institutions
flapsclub,following,,,Flaps,0,0,,,,,,,0,,aydınlığın inşası için.
bagerakbay,following,,,Bager Akbay,0,0,,,,,,,0,,experimenting 👾
BradSchoenfeld,following,,,"Brad Schoenfeld, PhD",0,0,,,,,,,0,,"Researcher/educator on muscle building and fat loss. Author: ""The MAX Muscle Plan"" & ""Science and Development of Muscle Hypertrophy."" https://t.co/ye3quvBlEy"
teyitorg,following,,,Teyit,0,0,,,,,,,0,,"Merak et, teyit et.  🤔 Şüpheli bilgi göndermek için: https://t.co/yBrTK10oy0"
flutivi,following,,,flu,0,0,,,,,,,0,,dünyanın en otantik içerikleri  https://t.co/D9wWNDvZKv  https://t.co/wnxQFvfCc9
suryanilercom,following,,,Süryani Kültürü,0,0,,,,,,,0,,Türkiye'de yaşayan Süryanilere ait güncel bilgileri ve haberleri bulabileceğiniz bir web sitesi..
jeandpardaillan,following,,,Emrah Safa Gürkan,0,0,,,,,,,0,,Prof.Dr./Georgetown'12-Bilkent'03&06 TUBA Young Scientist Award/14th Kadir Has Promising Scientist Aw./TUBA Monograph Aw. - İletişim:content@omnibuslive.com
yalinalpay,following,,,Yalın Alpay,0,0,,,,,,,0,,Yazar
savasy,following,,,Savaş Yıldırım,0,0,,,,,,,0,,"NLP & AI Researcher. Ph.D., Computer Engineering. The co-author of the book 'Mastering Transformers' . Working at  Bilgi Univ. and Toronto Met. Univ."
mahfiegilmez,following,,,Mahfi Eğilmez,0,0,,,,,,,0,,"İktisatçı, yazar."
Pyschedelia,following,,,Eray Yıldız,0,0,,,,,,,0,,zurückbleiben bitte! https://t.co/GlhVncUj99
photomatt,following,,,Matt Mullenweg,0,0,,,,,,,0,,I can think. I can wait. I can fast.
levelsio,following,,,@levelsio,0,0,,,,,,,0,,💸https://t.co/sQ0aiU7v02 📸https://t.co/lAyoqmSBRX $90K/m 🎮https://t.co/tF49atJ396 $44K/m 🫟https://t.co/8rYr9A594z $25K/m 🏡https://t.co/1oqUgfD6CZ $21K/m 👙@X $20K/m 🌍https://t.co/UXK5AFqCaQ $12K/m 💾@pieter 🏩https://t.co/4p4dzTDVN6
cowes_week,following,,,Cowes Week,0,0,,,,,,,0,,"Cowes Week - the world's oldest, largest and most spectacular sailing regatta of its kind"
MSFTFlux,following,,,Microsoft Flux,0,0,,,,,,,0,,Microsoft Flux is a community space for startups to network and explore their business ideas. #WeAreInFlux
SpaceApps,following,,,NASA Space Apps Challenge,0,0,,,,,,,0,,The largest annual hackathon 🚀   Verification: https://t.co/WZdewC0p5J
JustnGeographic,following,,,Justin Long,0,0,,,,,,,0,,
cirak_ismet,following,,,ismet Cirak,0,0,,,,,,,0,,personal trainer &life coaching
realDonaldTrump,following,,,Donald J. Trump,0,0,,,,,,,0,,45th & 47th President of the United States of America🇺🇸
thedarktangent,following,,,Jeff Moss,0,0,,,,,,,0,,https://t.co/fgXNGNt7gm Abandoned this site in 2022 but hopeful for the future of social media. Consider migrating to Mastodon DEFCON.socal
USEmbTurkiye,following,,,U.S. Embassy Türkiye,0,0,,,,,,,0,,"Official account of the U.S. Embassy in Ankara, Türkiye. Follow, RT, link, and/or like ≠ endorsement. Full terms of use: https://t.co/6qBZWhEcHH"
milenaajesenska,following,,,milena,0,0,,,,,,,0,,Bir takım Oblomov'luklar.
atolye_io,following,,,ATÖLYE,0,0,,,,,,,0,,ATÖLYE is a community-powered creative services organization. Part of the @kyu_collective. Certified @BCorporation.
instagrameng,following,,,Instagram Eng,0,0,,,,,,,0,,We build @Instagram
erenturkay,following,,,Eren Türkay,0,0,,,,,,,0,,"Ex @AWSCloud, Sr. technical lead, amateur radio operator -.. . TA1AET"
DeptofWar,following,,,Department of War 🇺🇸,0,0,,,,,,,0,,Official U.S. Department of War X account.
TravelGov,following,,,TravelGov,0,0,,,,,,,0,,"U.S. Dept. of State Consular Affairs. The official source for information on U.S. passports, safe & secure international travel, and U.S. visas. https://t.co/8Y2ogslLtt"
strangeloop_stl,following,,,Strange Loop Conf,0,0,,,,,,,0,,"The Strange Loop software conference in St. Louis, MO. Videos: https://t.co/nzeElviisT."
bashakalakha,following,,,Basak H,0,0,,,,,,,0,,Head of Design @Blockstream Previously @SoundCloud @InvisionApp @Microsoft @foursquare. Organizer @OpenIDEO @hexux_nyc
vkostyukov,following,,,Vladimir Kostюkov,0,0,,,,,,,0,,Some guy who wrote code for this website
annie_zak,following,,,Annie Zak,0,0,,,,,,,0,,"Editor & writer, economy/labor/essays. Previously in Alaska. Past @adndotcom @ocregister @columbiajourn @outnorthradio. Midwest 4ever. I like to bike. she/they"
stevenakdemir,following,,,dirt mcgerk,0,0,,,,,,,0,,Suryoyo
EastSideSocial1,following,,,East Side Social,0,0,,,,,,,0,,A social skills group for children and teens.
nycmariya,following,,,Mariya,0,0,,,,,,,0,,supervising audience editor for video @nytimes // previously @verge & @mashable // founder @voxmedia writers workshop // addis ababa ✈ dallas ✈ brooklyn
bugececo,following,,,BUGECE,0,0,,,,,,,0,,"BUGECE is the best way to discover what’s hot in town TONIGHT! Event Advisor, Ticketing & More"
USAttyBharara,following,,,US Attorney Bharara,0,0,,,,,,,0,,Official account of former U.S. Attorney for the Southern District of New York Preet Bharara. This account is no longer active.
140journos,following,,,140journos,0,0,,,,,,,0,,"https://t.co/OyRSryWNAs yenilendi. türkiye'yi anlamak için belgeseller, çizgi filmler, araştırmalar, e-kitaplar ve duvar kağıtları → https://t.co/OyRSryWNAs"
frapanofficial,following,,,Frapan,0,0,,,,,,,0,,
okvivi,following,,,Octavian Costache,0,0,,,,,,,0,,"co-founder/CTO @stellar_health_, co-founder @spring, ex-googler, author of the Multiple Inboxes gmail lab, built the Google Finance charts, grew up in communism"
gdickinson,following,,,Guy Dickinson,0,0,,,,,,,0,,"Senior Staff Toilet Cleaner at the Dickinson Household. Engineer in my spare time. Unplaceable accent. Formerly @twitter, now elsewhere."
dima_kassab,following,,,Dima Kassab,0,0,,,,,,,0,,
turkeystreetart,following,,,turkeystreetart,0,0,,,,,,,0,,http://t.co/n9EXxOIA   Sokaklarımızdan Duvar Yazıları
AsapSCIENCE,following,,,AsapSCIENCE,0,0,,,,,,,0,,Making science make sense. 😎🤓🏳️‍🌈
NASA,following,,,NASA,0,0,,,,,,,0,,"Making the seemingly impossible, possible. ✨"
GulcinOymak,following,,,Emine Gulcin Oymak,0,0,,,,,,,0,,
KidMograph,following,,,Kidmograph,0,0,,,,,,,0,,"Gustavo. Visual Artist from Argentina. Left Handed. Center Brained. Working online since 2005. Justin Bieber, The Strokes, Apple, Anderson Paak, The Weeknd, etc"
HalilKaratoprak,following,,,hll.krtprk,0,0,,,,,,,0,,
keremkacel,following,,,Kerem Kacel,0,0,,,,,,,0,,"Chapuller. Web technologist. House music fan. Windsporter. Double entendre enthusiast. Oh, and Dad."
myleakygut,following,,,Jacquelyn Turner,0,0,,,,,,,0,,"Blogger of healthy food alternatives including mostly GF, DF and Paleo recipes"
otdergi,following,,,otdergi,0,0,,,,,,,0,,https://t.co/PjzzAvZSkG 📺 @ottvresmi https://t.co/bMwmQtUt2Z  https://t.co/YJWlvcF117
ericschmidt,following,,,Eric Schmidt,0,0,,,,,,,0,,"Former Executive Chairman & CEO, KBE"
wearewiredin,following,,,We Are Wired In,0,0,,,,,,,0,,"Kill interuptions and tell people to leave you alone with productivity tools for iOS, OS X, Windows and your desk.  By @jkhowland, @jakemallory and @armadsen."
kevseruruntasci,following,,,Urun Tasci,0,0,,,,,,,0,,
MuGe_Ce,following,,,MugeCelt,0,0,,,,,,,0,,
heinstrom,following,,,Travis Heinström,0,0,,,,,,,0,,"I enjoy building things! Global Head of Digital Technology, Asset Management @GoldmanSachs Previously: @InVisionApp, @tumblr, @tinychat"
hesabidondurdum,following,,,onur,0,0,,,,,,,0,,
codingjester,following,,,Memes Я Us,0,0,,,,,,,0,,"Pragmatic Programmer. Possible cyborg hacker.  Formerly @ Vine,Tumblr. Clicks buttons for a living. https://t.co/Bbt1s885dr  Opinions are m"
Lameyla,following,,,Yasemin Ozumerzifon,0,0,,,,,,,0,,"psychologist, educator, artist"
azzofeifa,following,,,Aziz Dilsiz,0,0,,,,,,,0,,"Head Of Technology @oto_net, @otoplus_tr"
thomyorke,following,,,Thom Yorke,0,0,,,,,,,0,,
SelinOlmsted,following,,,Selin Olmsted,0,0,,,,,,,0,,Independent Eyewear Design
doruk_kurt,following,,,Doruk Kurt,0,0,,,,,,,0,,Awakening and Creating Beauty/ Alum Harvard MBA/ Interests #innovation #creativity #technology #consciousness #education #health
h_yardimci,following,,,harun.,0,0,,,,,,,0,,Director of Engineering
blackrockcity,following,,,Black Rock City,0,0,,,,,,,0,,Official Account: Burning Man is an annual art event & temporary community based on radical self expression & self-reliance in the Black Rock Desert of Nevada.
burningman,following,,,Burning Man Project,0,0,,,,,,,0,,The mission of Burning Man Project is to facilitate and extend the culture that has issued from the Burning Man event into the larger world.
niluferpol,following,,,Nilüfer Polat,0,0,,,,,,,0,,
ipeirotis,following,,,Panos Ipeirotis,0,0,,,,,,,0,,Professor at @NYUStern. #ai #datascience #crowdsourcing I have opinions.
siracusa,following,,,John Siracusa,0,0,,,,,,,0,,"Programmer, tech writer, and co-host of Accidental Tech Podcast (@atpfm), @RecDiffs, and @robot_or_not. @siracusa@mastodon.social"
marcoarment,following,,,Marco Arment,0,0,,,,,,,0,,Creator of Overcast and Unforgetful. Previously Tumblr and Instapaper.
OlgusalOrg,following,,,olgusal,0,0,,,,,,,0,,"Katılımcı, bağımsız, şeffaf, bilimsel bilgi analizi ve görselleştirmesi. info@olgusal.org"
bilgin1500,following,,,bilgin1500,0,0,,,,,,,0,,graphic and interaction designer
papers_we_love,following,,,Papers We Love (@paperswelove@mstdn.io),0,0,,,,,,,0,,!!! Follow us in the Fediverse: @paperswelove@mstdn.io  Papers https://t.co/n9Q4lMpuhk | Videos https://t.co/m7KZoSv7Tt | PWLConf https://t.co/0heF6CVy76
serdarakinan,following,,,serdar akinan,0,0,,,,,,,0,,Gazeteci
Baranosky,following,,,Alex Baranosky,0,0,,,,,,,0,,"Lead Software Developer @ Cisco / Threat Grid. I tweet about: Clojure, Emacs, Tech, Programming. Nothing more, nothing less."
marissamayer,following,,,marissamayer,0,0,,,,,,,0,,"Sunshine, Yahoo, Google, San Franciscan, Wisconsinite, Geek."
Cmdr_Hadfield,following,,,Chris Hadfield,0,0,,,,,,,0,,"Astronaut, back on Earth after 3 spaceflights.  For events and media, please write to info@chrishadfield.ca Order books at https://t.co/Y7p3sa0MX3"
cascading,following,,,Cascading,0,0,,,,,,,0,,Need support or guidance?  Reach out to @cwensel  https://t.co/5YnPV67z39
scalding,following,,,Scalding,0,0,,,,,,,0,,"Scalding is a scala DSL for Cascading, running on Hadoop.  It's concise and functional, and it's just good, clean fun."
bet3,following,,,Baturalp Torun,0,0,,,,,,,0,,photography enthusiast.
RMidyat,following,,,Rojda Midyat,0,0,,,,,,,0,,
BISradio,following,,,Tim Sweeney,0,0,,,,,,,0,,Beats in Space on Apple Music: https://t.co/zLRy1JOlLG || {Call the BIS Hotline ☎️: (646) 481-8189} ||
kevinweil,following,,,Kevin Weil 🇺🇸,0,0,,,,,,,0,,"BoD @Cisco @Stoke_Space LTC @USArmyReserve Ex CPO+Science @OpenAI, Pres @Planet, Head of Product @Instagram @Twitter ❤️ @elizabeth ultramarathons kids cats math"
turkishedits,following,,,Turkish Edits,0,0,,,,,,,0,,
eramirem,following,,,Elizabeth R.,0,0,,,,,,,0,,"Electrical Engineer, Applied Mathematician, ML Engineer, Ramenhead, Noodlebrain, Apartment Bartender 🤓🤖🛰🥊🐶🍜🍸"
shockallocca,following,,,Kevin Allocca,0,0,,,,,,,0,,Head of Culture & Trends at YouTube. Video culture and nonsense expert. Author of the book VIDEOCRACY from Bloomsbury https://t.co/PnrjtmI2CF 🌈🌈🦊📈
cmiller11101,following,,,闵魁偲,0,0,,,,,,,0,,💻 software engineer 💡 entrepreneur 🍲 foodie ✈️ world citizen based in 🇹🇭 Bangkok & 🇨🇳 Shanghai 💎 Marco Polo Club Diamond (oneworld Emerald)
BarikatTheBook,following,,,Barikat,0,0,,,,,,,0,,Barikat is the to be published book by Charles Emir Richards
nycsw,following,,,Startup Weekend NYC,0,0,,,,,,,0,,"Join the Startup Weekend Limitless Edition (any idea welcome!) on 31st of May, see link below"
thelittleidiot,following,,,moby XⓋX,0,0,,,,,,,0,,adopted son of john waters. #animalrights #vegan since 1987. vegan for life. xvx.
StarlightGirls,following,,,Starlight Girls,0,0,,,,,,,0,,A BAND http://t.co/tiIMK099dW
nazcolakoglu,following,,,Naz Colakoglu,0,0,,,,,,,0,,"Made in Istanbul/TR lives in NYC: Naz like the rapper with Z. Some call me Chocolate some Naz the Gaz but the greatest, you'll soon find out!:)"
tgba_ay,following,,,tgba ay,0,0,,,,,,,0,,
sigirf,following,,,SIGIR Filter,0,0,,,,,,,0,,"Don't spam your followers with SIGIR event-related tweets. Instead: 1) Ask interested followers to follow @sigirf, and 2) Start your #SIGIR tweets with @sigirf."
ani4444ka,following,,,Aneliya Kuzmanova,0,0,,,,,,,0,,
behicuzel,following,,,Behiç Uzel,0,0,,,,,,,0,,Ela'nin Babasi
bilgilio,following,,,Onur Bilgili,0,0,,,,,,,0,,"Consultant, Datascientis - Understand why you want that data and what you want to do with it"
Projunction_,following,,,Projunction,0,0,,,,,,,0,,
10urSari,following,,,Onur Sarı,0,0,,,,,,,0,,
plasmalord,following,,,Juan Pablo Oviedo R,0,0,,,,,,,0,,"Ultimate power. The will to bend reality. Plasma, nanotechnology, anime, videogames, da vinci, purpose of life"
bahadirhanerkoc,following,,,Itellyouthetruth;,0,0,,,,,,,0,,Photographer / Artist
Ayse9uL,following,,,Aysegul Duru,0,0,,,,,,,0,,I design dreamy yachting vacations around the world.
CanBabaoglu,following,,,Can Babaoglu,0,0,,,,,,,0,,"I am an entrepreneur with 2 bootstrapped exits, turned product leader. I have strong views on how startups should be run, which I tweet about."
nida_tslk,following,,,nida tslk,0,0,,,,,,,0,,
kvabanga,following,,,Atakan Tunçer,0,0,,,,,,,0,,👨‍👩‍👧‍👧 || 💻 || 🌿 || 🎬 Autodidact
birbigs,following,,,Mike Birbiglia,0,0,,,,,,,0,,"My new standup special, The Old Man & The Pool, is available on Netflix. Currently on tour in a city near you."
elonmusk,following,,,Elon Musk,0,0,,,,,,,0,,https://t.co/ZdBx5WABYx
cortesi,following,,,Aldo Cortesi,0,0,,,,,,,0,,"I make software, break software and make software that breaks software. https://t.co/IGSRPMVEGm https://t.co/Fh2Lq6leKN"
mainland,following,,,Mainland,0,0,,,,,,,0,,we met in nyc and started a band: 2011-2019. follow our personals @windsermusic @coreymullee @reefer_dadness
